

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
12/12/2025,"REINVESTMENT FIDELITY ZERO LARGE CAP INDEX FUND (FNILX) (Cash)",FNILX,"FIDELITY ZERO LARGE CAP INDEX FUND",Cash,24.33,1.654,,,,-40.25,2.63,
12/12/2025,"DIVIDEND RECEIVED FIDELITY ZERO LARGE CAP INDEX FUND (FNILX) (Cash)",FNILX,"FIDELITY ZERO LARGE CAP INDEX FUND",Cash,,0.000,,,,40.25,42.88,
12/01/2025,"REINVESTMENT as of Nov-28-2025 PIMCO LOW DURATION INCOME FUND CL A (PFIAX) (Cash)",PFIAX,"PIMCO LOW DURATION INCOME FUND CL A",Cash,8.31,0.31,,,,-2.58,2.63,
12/01/2025,"DIVIDEND RECEIVED as of Nov-28-2025 PIMCO LOW DURATION INCOME FUND CL A (PFIAX) (Cash)",PFIAX,"PIMCO LOW DURATION INCOME FUND CL A",Cash,,0.000,,,,2.58,5.21,
11/28/2025,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,2.6,,,,-2.6,2.63,
11/28/2025,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,2.6,2.63,
11/24/2025,"YOU BOUGHT FIDELITY MSCI INDL INDEX ETF (FIDU) (Cash)",FIDU,"FIDELITY MSCI INDL INDEX ETF",Cash,79.3,12,,,,-951.54,0.03,11/25/2025
11/24/2025,"YOU BOUGHT FIDELITY MSCI INDL INDEX ETF (FIDU) (Cash)",FIDU,"FIDELITY MSCI INDL INDEX ETF",Cash,79.3,0.611,,,,-48.45,951.57,11/25/2025
11/13/2025,"YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER CONF:035806832 PIMCO LOW DURATION INCOME FUND CL A (PFIAX) (Cash)",PFIAX,"PIMCO LOW DURATION INCOME FUND CL A",Cash,8.3,120.482,,,,-1000,1000.02,11/14/2025
11/12/2025,"YOU BOUGHT FIDELITY CLOUD COMPUTING ETF (FCLD) (Cash)",FCLD,"FIDELITY CLOUD COMPUTING ETF",Cash,31.49,12,,,,-377.82,2000.02,11/13/2025
11/12/2025,"YOU BOUGHT FIDELITY CLOUD COMPUTING ETF (FCLD) (Cash)",FCLD,"FIDELITY CLOUD COMPUTING ETF",Cash,31.49,0.712,,,,-22.42,2377.84,11/13/2025
11/12/2025,"YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FIDELITY ZERO EXTND MARKET INDEX FUND (FZIPX) (Cash)",FZIPX,"FIDELITY ZERO EXTND MARKET INDEX FUND",Cash,15.12,66.138,,,,-1000,2400.26,11/13/2025
11/11/2025,"YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FIDELITY ZERO LARGE CAP INDEX FUND (FNILX) (Cash)",FNILX,"FIDELITY ZERO LARGE CAP INDEX FUND",Cash,24.64,20.292,,,,-500,3400.26,11/12/2025
11/10/2025,"YOU BOUGHT ISHARES GOLD TR SHARES REPRESENT (IAUM) (Cash)",IAUM,"ISHARES GOLD TR SHARES REPRESENT",Cash,40.79,19,,,,-775.01,3900.26,11/12/2025
11/10/2025,"YOU BOUGHT ISHARES GOLD TR SHARES REPRESENT (IAUM) (Cash)",IAUM,"ISHARES GOLD TR SHARES REPRESENT",Cash,40.78,0.612,,,,-24.96,4675.27,11/12/2025
11/10/2025,"YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY... (FTEC) (Cash)",FTEC,"FIDELITY MSCI INFORMATION TECHNOLOGY IN",Cash,232.01,3,,,,-696.03,4700.23,11/12/2025
11/10/2025,"YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY... (FTEC) (Cash)",FTEC,"FIDELITY MSCI INFORMATION TECHNOLOGY IN",Cash,232.06,0.448,,,,-103.96,5396.26,11/12/2025
11/10/2025,"YOU BOUGHT FIDELITY CLOUD COMPUTING ETF (FCLD) (Cash)",FCLD,"FIDELITY CLOUD COMPUTING ETF",Cash,31.46,31,,,,-975.18,5500.22,11/12/2025
11/10/2025,"YOU BOUGHT FIDELITY CLOUD COMPUTING ETF (FCLD) (Cash)",FCLD,"FIDELITY CLOUD COMPUTING ETF",Cash,31.49,0.788,,,,-24.81,6475.40,11/12/2025
11/10/2025,"YOU BOUGHT FIDELITY ELECTRIC VEHICLES AND FUTUR... (FDRV) (Cash)",FDRV,"FIDELITY ELECTRIC VEHICLES AND FUTURE T",Cash,17.43,57,,,,-993.49,6500.21,11/12/2025
11/10/2025,"YOU BOUGHT FIDELITY ELECTRIC VEHICLES AND FUTUR... (FDRV) (Cash)",FDRV,"FIDELITY ELECTRIC VEHICLES AND FUTURE T",Cash,17.39,0.374,,,,-6.5,7493.70,11/12/2025
11/10/2025,"YOU BOUGHT FIDELITY CRYPTO INDUSTRY AND DIGITAL... (FDIG) (Cash)",FDIG,"FIDELITY CRYPTO INDUSTRY AND DIGITAL PA",Cash,49.82,20,,,,-996.33,7500.20,11/12/2025
11/10/2025,"YOU BOUGHT FIDELITY CRYPTO INDUSTRY AND DIGITAL... (FDIG) (Cash)",FDIG,"FIDELITY CRYPTO INDUSTRY AND DIGITAL PA",Cash,49.85,0.073,,,,-3.64,8496.53,11/12/2025
11/10/2025,"YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FIDELITY ZERO EXTND MARKET INDEX FUND (FZIPX) (Cash)",FZIPX,"FIDELITY ZERO EXTND MARKET INDEX FUND",Cash,15.07,99.536,,,,-1500,8500.17,11/12/2025
11/10/2025,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,10000,10000.17,
10/31/2025,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.02,,,,-0.02,0.17,
10/31/2025,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.02,0.17,
10/29/2025,"YOU BOUGHT ISHARES GOLD TR SHARES REPRESENT (IAUM) (Cash)",IAUM,"ISHARES GOLD TR SHARES REPRESENT",Cash,39.95,25,,,,-998.63,0.15,10/30/2025
10/29/2025,"YOU BOUGHT ISHARES GOLD TR SHARES REPRESENT (IAUM) (Cash)",IAUM,"ISHARES GOLD TR SHARES REPRESENT",Cash,39.95,0.034,,,,-1.36,998.78,10/30/2025
10/29/2025,"YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY... (FTEC) (Cash)",FTEC,"FIDELITY MSCI INFORMATION TECHNOLOGY IN",Cash,239.64,4,,,,-958.56,1000.14,10/30/2025
10/29/2025,"YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY... (FTEC) (Cash)",FTEC,"FIDELITY MSCI INFORMATION TECHNOLOGY IN",Cash,239.63,0.21,,,,-50.32,1958.70,10/30/2025
10/29/2025,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,2000,2009.02,
10/06/2025,"DIVIDEND RECEIVED BNY MELLON ETF TRUST US LRG CP CORE (BKLC) (Cash)",BKLC,"BNY MELLON ETF TRUST US LRG CP CORE",Cash,,0.000,,,,9.02,9.02,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 05/11/2026 2:49 pm
